"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","02-10-2026","02-19-2026","INCOMING CORRESPONDENCE","PROOF OF DELIVERY FOR CO","0173508003EI",".pdf","82.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.117706.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","02-09-2026","02-09-2026","INCOMING CORRESPONDENCE","PROOF OF CREDIT PURCHASE OGC 24-1721","0173508003EI",".pdf","1.1 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.117626.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","02-04-2026","02-04-2026","INCOMING CORRESPONDENCE","PAYMENT RECEIPT FOR CO 25-1721","0173508003EI",".pdf","89.9 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118028.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","02-04-2026","02-04-2026","CONSENT ORDER","FINAL CONSENT ORDER 25-1721","0173508003EI",".pdf","816.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.117554.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","12-01-2025","12-01-2025","MEETING RELATED","MEETING TO DISCUSS RAI#1 AND CO","",".pdf","82.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.117169.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","11-05-2025","11-05-2025","PUBLIC INTEREST RELATED","DHR REVIEW COMMENTS","",".pdf","773.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.116971.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-31-2025","10-31-2025","REQUEST FOR ADDITIONAL INFORMATION","RAI#1 FOR ERP APPLICATION","",".pdf","405.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.116908.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-27-2025","10-27-2025","REVIEW COMMENTS","EHG MEMO FOR RAI#1","",".pdf","210.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.116858.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-23-2025","10-23-2025","PUBLIC INTEREST RELATED","STATE LANDS TITLE CHECK-UPDATED","",".pdf","122.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.116860.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-17-2025","10-17-2025","CONSENT ORDER","DRAFT CONSENT ORDER","0173508003EI",".pdf","296.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.116785.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","10-16-2025","10-16-2025","PUBLIC INTEREST RELATED","PROOF OF PUBLICATION IN NEWSPAPER","",".pdf","6.9 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.116740.1"
